"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
entities_table_au_61,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_61}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_61}</p> <p style=""margin: 0;"">{receives_au_data_61}</p> <p style=""margin: 0;"">{receives_au_35_61}</p> <p style=""margin: 0;"">{receives_au_serv_61}</p> <p style=""margin: 0;"">{receives_au_68_61}</p> <p style=""margin: 0;"">{receives_au_oth_61}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_61}</p> <p style=""margin: 0;"">{provides_au_data_61}</p> <p style=""margin: 0;"">{provides_au_35_61}</p> <p style=""margin: 0;"">{provides_au_serv_61}</p> <p style=""margin: 0;"">{provides_au_68_61}</p> <p style=""margin: 0;"">{provides_au_oth_61}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_61}</p> <p>{agree_au_oth_61}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '6'",,,,,,
entities_table_au_71,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_71}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_71}</p> <p style=""margin: 0;"">{receives_au_data_71}</p> <p style=""margin: 0;"">{receives_au_35_71}</p> <p style=""margin: 0;"">{receives_au_serv_71}</p> <p style=""margin: 0;"">{receives_au_68_71}</p> <p style=""margin: 0;"">{receives_au_oth_71}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_71}</p> <p style=""margin: 0;"">{provides_au_data_71}</p> <p style=""margin: 0;"">{provides_au_35_71}</p> <p style=""margin: 0;"">{provides_au_serv_71}</p> <p style=""margin: 0;"">{provides_au_68_71}</p> <p style=""margin: 0;"">{provides_au_oth_71}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_71}</p> <p>{agree_au_oth_71}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '7'",,,,,,
entities_table_au_81,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_81}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_81}</p> <p style=""margin: 0;"">{receives_au_data_81}</p> <p style=""margin: 0;"">{receives_au_35_81}</p> <p style=""margin: 0;"">{receives_au_serv_81}</p> <p style=""margin: 0;"">{receives_au_68_81}</p> <p style=""margin: 0;"">{receives_au_oth_81}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_81}</p> <p style=""margin: 0;"">{provides_au_data_81}</p> <p style=""margin: 0;"">{provides_au_35_81}</p> <p style=""margin: 0;"">{provides_au_serv_81}</p> <p style=""margin: 0;"">{provides_au_68_81}</p> <p style=""margin: 0;"">{provides_au_oth_81}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_81}</p> <p>{agree_au_oth_81}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '8'",,,,,,
entities_table_au_91,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_91}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_91}</p> <p style=""margin: 0;"">{receives_au_data_91}</p> <p style=""margin: 0;"">{receives_au_35_91}</p> <p style=""margin: 0;"">{receives_au_serv_91}</p> <p style=""margin: 0;"">{receives_au_68_91}</p> <p style=""margin: 0;"">{receives_au_oth_91}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_91}</p> <p style=""margin: 0;"">{provides_au_data_91}</p> <p style=""margin: 0;"">{provides_au_35_91}</p> <p style=""margin: 0;"">{provides_au_serv_91}</p> <p style=""margin: 0;"">{provides_au_68_91}</p> <p style=""margin: 0;"">{provides_au_oth_91}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_91}</p> <p>{agree_au_oth_91}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '9'",,,,,,
entities_table_au_101,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_101}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_101}</p> <p style=""margin: 0;"">{receives_au_data_101}</p> <p style=""margin: 0;"">{receives_au_35_101}</p> <p style=""margin: 0;"">{receives_au_serv_101}</p> <p style=""margin: 0;"">{receives_au_68_101}</p> <p style=""margin: 0;"">{receives_au_oth_101}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_101}</p> <p style=""margin: 0;"">{provides_au_data_101}</p> <p style=""margin: 0;"">{provides_au_35_101}</p> <p style=""margin: 0;"">{provides_au_serv_101}</p> <p style=""margin: 0;"">{provides_au_68_101}</p> <p style=""margin: 0;"">{provides_au_oth_101}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_101}</p> <p>{agree_au_oth_101}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '10'",,,,,,
entities_table_au_111,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_111}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_111}</p> <p style=""margin: 0;"">{receives_au_data_111}</p> <p style=""margin: 0;"">{receives_au_35_111}</p> <p style=""margin: 0;"">{receives_au_serv_111}</p> <p style=""margin: 0;"">{receives_au_68_111}</p> <p style=""margin: 0;"">{receives_au_oth_111}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_111}</p> <p style=""margin: 0;"">{provides_au_data_111}</p> <p style=""margin: 0;"">{provides_au_35_111}</p> <p style=""margin: 0;"">{provides_au_serv_111}</p> <p style=""margin: 0;"">{provides_au_68_111}</p> <p style=""margin: 0;"">{provides_au_oth_111}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_111}</p> <p>{agree_au_oth_111}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '11'",,,,,,
entities_table_au_121,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_121}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_121}</p> <p style=""margin: 0;"">{receives_au_data_121}</p> <p style=""margin: 0;"">{receives_au_35_121}</p> <p style=""margin: 0;"">{receives_au_serv_121}</p> <p style=""margin: 0;"">{receives_au_68_121}</p> <p style=""margin: 0;"">{receives_au_oth_121}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_121}</p> <p style=""margin: 0;"">{provides_au_data_121}</p> <p style=""margin: 0;"">{provides_au_35_121}</p> <p style=""margin: 0;"">{provides_au_serv_121}</p> <p style=""margin: 0;"">{provides_au_68_121}</p> <p style=""margin: 0;"">{provides_au_oth_121}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_121}</p> <p>{agree_au_oth_121}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '12'",,,,,,
entities_table_au_131,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_131}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_131}</p> <p style=""margin: 0;"">{receives_au_data_131}</p> <p style=""margin: 0;"">{receives_au_35_131}</p> <p style=""margin: 0;"">{receives_au_serv_131}</p> <p style=""margin: 0;"">{receives_au_68_131}</p> <p style=""margin: 0;"">{receives_au_oth_131}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_131}</p> <p style=""margin: 0;"">{provides_au_data_131}</p> <p style=""margin: 0;"">{provides_au_35_131}</p> <p style=""margin: 0;"">{provides_au_serv_131}</p> <p style=""margin: 0;"">{provides_au_68_131}</p> <p style=""margin: 0;"">{provides_au_oth_131}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_131}</p> <p>{agree_au_oth_131}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '13'",,,,,,
entities_table_au_141,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_141}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_141}</p> <p style=""margin: 0;"">{receives_au_data_141}</p> <p style=""margin: 0;"">{receives_au_35_141}</p> <p style=""margin: 0;"">{receives_au_serv_141}</p> <p style=""margin: 0;"">{receives_au_68_141}</p> <p style=""margin: 0;"">{receives_au_oth_141}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_141}</p> <p style=""margin: 0;"">{provides_au_data_141}</p> <p style=""margin: 0;"">{provides_au_35_141}</p> <p style=""margin: 0;"">{provides_au_serv_141}</p> <p style=""margin: 0;"">{provides_au_68_141}</p> <p style=""margin: 0;"">{provides_au_oth_141}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_141}</p> <p>{agree_au_oth_141}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '14'",,,,,,
entities_table_au_151,mapping_meeting,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.141%; height: 43.2955px;"" border=""1""> <tbody> <tr style=""height: 43.2955px;""> <td style=""width: 23.48%; height: 43.2955px;"">Name of entity: {entity_au_151}</td> <td style=""width: 19.0938%; height: 43.2955px;""> <p style=""margin: 0;"">{receives_au_12_151}</p> <p style=""margin: 0;"">{receives_au_data_151}</p> <p style=""margin: 0;"">{receives_au_35_151}</p> <p style=""margin: 0;"">{receives_au_serv_151}</p> <p style=""margin: 0;"">{receives_au_68_151}</p> <p style=""margin: 0;"">{receives_au_oth_151}</p> </td> <td style=""width: 19.5209%; height: 43.2955px;""> <p style=""margin: 0;"">{provides_au_12_151}</p> <p style=""margin: 0;"">{provides_au_data_151}</p> <p style=""margin: 0;"">{provides_au_35_151}</p> <p style=""margin: 0;"">{provides_au_serv_151}</p> <p style=""margin: 0;"">{provides_au_68_151}</p> <p style=""margin: 0;"">{provides_au_oth_151}</p> </td> <td style=""width: 37.9075%; height: 43.2955px;""> <p>{agree_au_151}</p> <p>{agree_au_oth_151}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[mapmeet_au_sites_num] <> """" AND [mapmeet_au_sites_num] >= '15'",,,,,,
entity_au_11,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_au_12_11,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_au_data_11,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_au_12_11(2)] = '1'",,,,,,
receives_au_35_11,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_au_serv_11,mapping_meeting,,text,"Please describe",,,,,,,"[receives_au_35_11(5)] = '1'",,RH,,,,
receives_au_68_11,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_au_oth_11,mapping_meeting,,text,"Please describe",,,,,,,"[receives_au_68_11(8)] = '1'",,RH,,,,
provides_au_12_11,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_au_data_11,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_au_12_11(2)] = '1'",,,,,,
provides_au_35_11,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_au_serv_11,mapping_meeting,,text,"Please describe",,,,,,,"[provides_au_35_11(5)] = '1'",,RH,,,,
provides_au_68_11,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
provides_au_oth_11,mapping_meeting,,text,"Please describe",,,,,,,"[provides_au_68_11(8)] = '1'",,RH,,,,
agree_au_11,mapping_meeting,,checkbox,"Agreements recommended by Legal","1, Non-Disclosure (Confidentiality) Agreement | 2, Clinical Trial Research Agreement (CTRA) | 3, Collaboration/MACH Agreement | 4, Funding Agreement | 5, Data Transfer Agreement | 6, Indemnity Agreement | 7, Services Agreement | 8, Licensing Agreement | 9, Commercial Agreement | 10, Other | 11, None",,,,,,,,,,,," @NONEOFTHEABOVE='11'"
agree_au_oth_11,mapping_meeting,,text,"Please describe the type of agreement",,,,,,,"[agree_au_11(10)] = '1'",,,,,,
entity_au_21,mapping_meeting,,notes,"Name of entity",,,,,,,,,RH,,,,
receives_au_12_21,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
receives_au_data_21,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[receives_au_12_21(2)] = '1'",,,,,,
receives_au_35_21,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
receives_au_serv_21,mapping_meeting,,text,"Please describe",,,,,,,"[receives_au_35_21(5)] = '1'",,RH,,,,
receives_au_68_21,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
receives_au_oth_21,mapping_meeting,,text,"Please describe",,,,,,,"[receives_au_68_21(8)] = '1'",,RH,,,,
provides_au_12_21,mapping_meeting,,checkbox,"Items Florey to receive","2, Participant data",,,,,,,,LV,,,,
provides_au_data_21,mapping_meeting,,checkbox,"Please describe","1, <span style=""border-top: 1px solid black; display:inline-block; padding:2px 0;"">Information data</span> | 2, Biological samples | 3, <span style=""border-bottom: 1px solid black; display:inline-block; padding:2px 0 2px 0; padding-right:5em;"">Images</span>",,,,,,"[provides_au_12_21(2)] = '1'",,,,,,
provides_au_35_21,mapping_meeting,,checkbox,"Items Florey to receive","3, IP / Other study materials | 4, Funding | 5, Services",,,,,,,,LV,,,,
provides_au_serv_21,mapping_meeting,,text,"Please describe",,,,,,,"[provides_au_35_21(5)] = '1'",,RH,,,,
provides_au_68_21,mapping_meeting,,checkbox,"Items Florey to receive","6, Participant referrals | 7, Premises use | 8, Other",,,,,,,,LV,,,,
